file,line,kernel,observed_runs,state
include/update.cuh,289,leafProcessRnnUpdate,ncu_query_only_leafProcessRnnUpdate;nsys_all_include;nsys_base_delete;nsys_buffer_query;nsys_direct_delete;nsys_direct_insert;nsys_query_only;nsys_rebuild,representative observed; branches not exhaustive
include/update.cuh,428,collectLeafNodesSingleQuery,ncu_query_only_collectLeafNodesSingleQuery;nsys_all_include;nsys_base_delete;nsys_buffer_query;nsys_direct_delete;nsys_direct_insert;nsys_query_only;nsys_rebuild,representative observed; branches not exhaustive
include/update.cuh,450,compactResultSingleQuery,ncu_query_only_compactResultSingleQuery;nsys_all_include;nsys_base_delete;nsys_buffer_query;nsys_direct_delete;nsys_direct_insert;nsys_query_only;nsys_rebuild,representative observed; branches not exhaustive
include/update_optimized.cuh,130,mergeTotalResult,,source-only; alternative header; not included by native main
include/update_optimized.cuh,151,findIdx,,source-only; alternative header; not included by native main
include/update_optimized.cuh,216,mergeInResult,,source-only; alternative header; not included by native main
include/update_optimized.cuh,230,getNewData,,source-only; alternative header; not included by native main
include/update_optimized.cuh,290,leafProcessRnnUpdate,,source-only; alternative header; not included by native main
include/update_optimized.cuh,410,collectLeafNodesAndInitRes,,source-only; alternative header; not included by native main
include/update_optimized.cuh,429,compactResultSingleQuery,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,103,mergeTotalResult,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,124,findIdx,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,188,mergeInResult,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,202,getNewData,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,262,leafProcessRnnUpdate,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,381,collectLeafNodesSingleQuery,,source-only; alternative header; not included by native main
include/update_user_modified.cuh,399,compactResultSingleQuery,,source-only; alternative header; not included by native main
